ID,Trial_Num,laser_power,Painrating
1,1,3.5,4
1,2,3.5,5.5
1,3,2.5,2.5
1,4,2.5,0
1,5,3.5,5
1,6,4,4
1,7,2.5,1.5
1,8,2.5,2
1,9,2.5,2
1,10,3,2
1,11,3,2
1,12,2.5,3
1,13,3.5,5
1,14,3,3.5
1,15,3,2
1,16,3.5,4
1,17,3.5,3
1,18,4,2.5
1,19,3.5,3
1,20,4,6
1,21,2.5,2
1,22,4,3.5
1,23,3,2
1,24,2.5,2
1,25,2.5,3
1,26,3,1.5
1,27,2.5,2
1,28,3.5,4
1,29,3.5,4
1,30,4,4
1,31,3,3
1,32,3.5,3
1,33,4,3.5
1,34,3,3
1,35,3,3.5
1,36,4,3.5
1,37,3,3
1,38,4,2.5
1,39,4,3
1,40,4,3.5
1,41,3.5,8
1,42,3.5,8
1,43,2.5,3.5
1,44,2.5,4.5
1,45,3.5,7.5
1,46,4,6
1,47,2.5,6.5
1,48,2.5,4
1,49,2.5,5
1,50,3,3.5
1,51,3,4.5
1,52,2.5,5.5
1,53,3.5,8.5
1,54,3,4
1,55,3,4
1,56,3.5,7.5
1,57,3.5,8.5
1,58,4,6.5
1,59,3.5,8
1,60,4,6
1,61,2.5,4
1,62,4,7
1,63,3,4.5
1,64,2.5,4
1,65,2.5,4
1,66,3,6
1,67,2.5,5
1,68,3.5,8.5
1,69,3.5,8
1,70,4,7.5
1,71,3,3.5
1,72,3.5,8.5
1,73,4,8
1,74,3,4.5
1,75,3,5
1,76,4,6
1,77,3,5
1,78,4,7.5
1,79,4,8
1,80,4,7.5
2,1,3.5,2
2,2,3.5,2
2,3,2.5,0
2,4,2.5,2
2,5,3.5,3
2,6,4,4
2,7,2.5,3
2,8,2.5,2
2,9,2.5,0
2,10,3,1
2,11,3,3
2,12,2.5,0
2,13,3.5,1
2,14,3,3
2,15,3,4
2,16,3.5,0
2,17,3.5,3
2,18,4,5
2,19,3.5,0
2,20,4,5
2,21,2.5,1
2,22,4,3
2,23,3,1
2,24,2.5,1
2,25,3,4
2,26,2.5,1
2,27,3.5,3
2,28,4,4
2,29,3,2
2,30,3.5,3
2,31,4,4
2,32,3,2
2,33,3,3
2,34,4,2
2,35,3,0
2,36,4,5
2,37,4,4
2,38,4,5
2,39,3.5,7
2,40,3.5,4
2,41,2.5,3
2,42,2.5,4
2,43,3.5,4
2,44,4,9
2,45,2.5,4
2,46,2.5,4
2,47,3,7
2,48,3,7
2,49,2.5,4
2,50,3.5,4
2,51,3,5
2,52,3,4
2,53,3.5,6
2,54,3.5,5
2,55,3.5,7
2,56,4,9
2,57,3,6
2,58,2.5,5
2,59,2.5,4
2,60,2.5,4
2,61,3.5,4
2,62,3.5,6
2,63,3,5
2,64,4,9
2,65,3,4
2,66,3,5
2,67,3,5
2,68,4,6
2,69,4,5
2,70,0,0
2,71,0,0
2,72,0,0
2,73,0,0
2,74,0,0
2,75,0,0
2,76,0,0
2,77,0,0
2,78,0,0
2,79,0,0
2,80,0,0
3,1,3.5,6
3,2,3.5,7
3,3,2.5,7
3,4,2.5,7
3,5,3.5,8
3,6,4,7
3,7,2.5,6
3,8,2.5,7
3,9,2.5,6
3,10,3,0
3,11,3,5
3,12,2.5,5
3,13,3.5,5
3,14,3,4
3,15,3,5
3,16,3.5,6
3,17,3.5,4
3,18,4,7
3,19,3.5,6
3,20,4,6
3,21,2.5,5
3,22,4,7
3,23,3,3
3,24,2.5,6
3,25,2.5,6
3,26,3,3
3,27,2.5,5
3,28,3.5,5
3,29,3.5,4
3,30,4,7
3,31,3,4
3,32,3.5,7
3,33,4,8
3,34,3,5
3,35,3,5
3,36,4,7
3,37,3,5
3,38,4,0
3,39,4,0
3,40,4,9
3,41,3.5,10
3,42,3.5,10
3,43,2.5,8
3,44,2.5,8
3,45,3.5,10
3,46,4,10
3,47,2.5,9
3,48,2.5,9
3,49,2.5,6
3,50,3,7
3,51,3,9
3,52,2.5,8
3,53,3.5,9
3,54,3,8
3,55,3,8
3,56,3.5,9
3,57,3.5,9
3,58,4,10
3,59,3.5,10
3,60,4,10
3,61,2.5,7
3,62,4,9
3,63,3,9
3,64,2.5,7
3,65,2.5,8
3,66,3,7
3,67,2.5,8
3,68,3.5,9
3,69,3.5,10
3,70,4,10
3,71,3,8
3,72,3.5,9
3,73,4,9
3,74,3,9
3,75,3,9
3,76,4,8
3,77,3,9
3,78,4,10
3,79,0,0
3,80,0,0
4,1,3.5,4
4,2,3.5,4
4,3,2.5,2
4,4,2.5,3
4,5,3.5,4
4,6,4,3
4,7,2.5,3
4,8,2.5,3
4,9,2.5,4
4,10,3,3
4,11,3,4
4,12,2.5,2
4,13,3.5,4
4,14,3,2
4,15,3,3
4,16,3.5,3
4,17,3.5,3
4,18,3.5,4
4,19,4,5
4,20,2.5,1
4,21,3,4
4,22,2.5,2
4,23,2.5,2
4,24,3,3
4,25,2.5,1
4,26,3.5,1
4,27,4,2
4,28,3,1
4,29,3.5,4
4,30,4,3
4,31,3,1
4,32,3,1
4,33,4,3
4,34,3,1
4,35,4,1
4,36,4,4
4,37,3.5,9
4,38,3.5,10
4,39,2.5,4
4,40,2.5,7
4,41,3.5,9
4,42,4,10
4,43,2.5,5
4,44,2.5,8
4,45,2.5,8
4,46,3,4
4,47,2.5,9
4,48,3.5,8
4,49,3,10
4,50,3,5
4,51,3.5,10
4,52,3.5,9
4,53,4,10
4,54,3.5,9
4,55,4,10
4,56,2.5,5
4,57,3,7
4,58,2.5,8
