ID,Trial_Num,laser_power,Painrating
1,1,4.25,4.89
1,2,4.25,5.74
1,3,4.25,5.44
1,4,4.25,5.78
1,5,4.25,4.87
1,6,4.25,7.84
1,7,4.25,7.34
1,8,4.25,4.58
1,9,4.25,5.85
1,10,4.25,4.83
2,1,3,
2,2,3,3.64
2,3,3,5.88
2,4,3,7.39
2,5,3,5.02
2,6,3,6.02
2,7,3,8.33
2,8,3,7.03
2,9,3,7.46
2,10,3,3.58
3,1,3.5,7.68
3,2,3.5,7.97
3,3,3.5,9.29
3,4,3.5,2.08
3,5,3.5,4.08
3,6,3.5,7.26
3,7,3.5,5.24
3,8,3.5,8.34
3,9,3.5,6.49
3,10,3.5,6.85
4,1,3.5,9.89
4,2,3.5,9.27
4,3,3.5,7.6
4,4,3.5,8.55
4,5,3.5,7.27
4,6,3.5,9.24
4,7,3.5,8.21
4,8,3.5,9.3
4,9,3.5,7.85
4,10,3.5,9.15
5,1,3,4.99
5,2,3,4.49
5,3,3,3.15
5,4,3,5.02
5,5,3,3.02
5,6,3,5.06
5,7,3,6
5,8,3,3.08
5,9,3,5.25
5,10,3,5.16
6,1,3,5.56
6,2,3,8.58
6,3,3,5.33
6,4,3,4.42
6,5,3,9.19
6,6,3,5.57
6,7,3,7.04
6,8,3,5.05
6,9,3,7.85
6,10,3,9.06
7,1,3.75,4.79
7,2,3.75,5.23
7,3,3.75,5.66
7,4,3.75,6.7
7,5,3.75,3.95
7,6,3.75,4.85
7,7,3.75,5.8
7,8,3.75,6.04
7,9,3.75,7.07
7,10,3.75,5.95
8,1,3.75,9.04
8,2,3.75,9.69
8,3,3.75,4
8,4,3.75,9.43
8,5,3.75,4.55
8,6,3.75,7.58
8,7,3.75,9.44
8,8,3.75,9.07
8,9,3.75,9.64
8,10,3.75,9.58
9,1,3.75,7.59
9,2,3.75,6
9,3,3.75,7.87
9,4,3.75,6.92
9,5,3.75,7.9
9,6,3.75,1.81
9,7,3.75,6.69
9,8,3.75,8.24
9,9,3.75,5.03
9,10,3.75,7.91
10,1,4.25,5.01
10,2,4.25,4
10,3,4.25,5.02
10,4,4.25,4.7
10,5,4.25,5.02
10,6,4.25,3.99
10,7,4.25,5.32
10,8,4.25,4.72
10,9,4.25,4.18
10,10,4.25,4.52
11,1,3.25,5.32
11,2,3.25,4.11
11,3,3.25,5.16
11,4,3.25,6.9
11,5,3.25,4.18
11,6,3.25,5.65
11,7,3.25,6.65
11,8,3.25,2.12
11,9,3.25,7.58
11,10,3.25,4.85
12,1,3.5,5.03
12,2,3.5,6.61
12,3,3.5,4.51
12,4,3.5,6.77
12,5,3.5,7.21
12,6,3.5,6.33
12,7,3.5,5.57
12,8,3.5,7.04
12,9,3.5,6.9
12,10,3.5,6.62
13,1,3.25,5.03
13,2,3.25,5.91
13,3,3.25,4.7
13,4,3.25,6.45
13,5,3.25,3.35
13,6,3.25,7.04
13,7,3.25,7.05
13,8,3.25,7.53
13,9,3.25,7.6
13,10,3.25,6.06
14,1,3.5,1.99
14,2,3.5,5.04
14,3,3.5,7.03
14,4,3.5,6.01
14,5,3.5,4.02
14,6,3.5,8.02
14,7,3.5,6.07
14,8,3.5,3.03
14,9,3.5,6.05
14,10,3.5,7.06
15,1,3.25,8.03
15,2,3.25,7.03
15,3,3.25,5.04
15,4,3.25,9.04
15,5,3.25,8.01
15,6,3.25,7.86
15,7,3.25,7.07
15,8,3.25,6.72
15,9,3.25,4
15,10,3.25,7.06
16,1,3.25,6.54
16,2,3.25,6.49
16,3,3.25,5.99
16,4,3.25,5.56
16,5,3.25,5.53
16,6,3.25,4.53
16,7,3.25,8.55
16,8,3.25,8.03
16,9,3.25,3.01
16,10,3.25,7.52
17,1,4,4.72
17,2,4,5.6
17,3,4,5.29
17,4,4,4.84
17,5,4,5.73
17,6,4,5.59
17,7,4,5.44
17,8,4,6.12
17,9,4,5.11
17,10,4,5.02
18,1,4.5,2.03
18,2,4.5,5.98
18,3,4.5,5.02
18,4,4.5,7.06
18,5,4.5,6.04
18,6,4.5,5.02
18,7,4.5,6.94
18,8,4.5,4.08
18,9,4.5,7
18,10,4.5,6.04
19,1,3,5.97
19,2,3,5.02
19,3,3,4.92
19,4,3,5.53
19,5,3,6.44
19,6,3,5.06
19,7,3,5.56
19,8,3,6.67
19,9,3,5.55
19,10,3,7.57
20,1,3.5,3.96
20,2,3.5,5.49
20,3,3.5,5.02
20,4,3.5,5.23
20,5,3.5,7.37
20,6,3.5,7.82
20,7,3.5,8.19
20,8,3.5,4.8
20,9,3.5,7.52
20,10,3.5,4.95
21,1,3.25,5.04
21,2,3.25,5.04
21,3,3.25,3.99
21,4,3.25,2.99
21,5,3.25,4
21,6,3.25,5.02
21,7,3.25,4
21,8,3.25,4.03
21,9,3.25,3.95
21,10,3.25,5.02
22,1,3.25,6.62
22,2,3.25,9.27
22,3,3.25,9.95
22,4,3.25,8
22,5,3.25,8.68
22,6,3.25,4.58
22,7,3.25,9.84
22,8,3.25,7.88
22,9,3.25,5.08
22,10,3.25,4.13
23,1,3.75,7.92
23,2,3.75,9.01
23,3,3.75,5.64
23,4,3.75,6.99
23,5,3.75,9.56
23,6,3.75,7.52
23,7,3.75,8.09
23,8,3.75,7.86
23,9,3.75,8.03
23,10,3.75,8.28
24,1,3.75,5.38
24,2,3.75,5.67
24,3,3.75,5.87
24,4,3.75,5.51
24,5,3.75,5.85
24,6,3.75,5.25
24,7,3.75,4.76
24,8,3.75,5.36
24,9,3.75,5.84
24,10,3.75,6.05
25,1,3.5,7.56
25,2,3.5,4.98
25,3,3.5,6.08
25,4,3.5,8.81
25,5,3.5,9.32
25,6,3.5,9.84
25,7,3.5,8.56
25,8,3.5,9.04
25,9,3.5,9.13
25,10,3.5,7.18
26,1,4,8.06
26,2,4,6.98
26,3,4,5.57
26,4,4,7.55
26,5,4,9.04
26,6,4,9.9
26,7,4,3.9
26,8,4,4.44
26,9,4,8.61
26,10,4,9.97
27,1,4.25,3.82
27,2,4.25,4.04
27,3,4.25,5.03
27,4,4.25,5.47
27,5,4.25,5.64
27,6,4.25,6.02
27,7,4.25,6.23
27,8,4.25,6.27
27,9,4.25,6.69
27,10,4.25,6.85
28,1,2.75,4.98
28,2,2.75,6.01
28,3,2.75,6.05
28,4,2.75,6
28,5,2.75,6.05
28,6,2.75,5.97
28,7,2.75,5.07
28,8,2.75,5.07
28,9,2.75,7.03
28,10,2.75,4.68
29,1,3.5,5.28
29,2,3.5,7.61
29,3,3.5,6.52
29,4,3.5,7.48
29,5,3.5,7.01
29,6,3.5,8.04
29,7,3.5,7.01
29,8,3.5,7.03
29,9,3.5,6.5
29,10,3.5,
30,1,3.75,4
30,2,3.75,5.57
30,3,3.75,5.01
30,4,3.75,6.05
30,5,3.75,5.02
30,6,3.75,3.04
30,7,3.75,6.04
30,8,3.75,8.05
30,9,3.75,9.08
30,10,3.75,7.06
31,1,3,7.02
31,2,3,4.01
31,3,3,7.01
31,4,3,6.04
31,5,3,5.01
31,6,3,4.01
31,7,3,4.01
31,8,3,6.02
31,9,3,5.04
31,10,3,6.01
32,1,3.75,8.96
32,2,3.75,9.91
32,3,3.75,4.72
32,4,3.75,5.11
32,5,3.75,4.5
32,6,3.75,6.02
32,7,3.75,7.38
32,8,3.75,8.95
32,9,3.75,5.32
32,10,3.75,3.91
33,1,2.75,4.01
33,2,2.75,4.99
33,3,2.75,6.02
33,4,2.75,6.03
33,5,2.75,5
33,6,2.75,5.04
33,7,2.75,6.02
33,8,2.75,6.01
33,9,2.75,5
33,10,2.75,4.99
34,1,3.5,8.04
34,2,3.5,8.44
34,3,3.5,7.55
34,4,3.5,9.07
34,5,3.5,5.6
34,6,3.5,8.03
34,7,3.5,8.06
34,8,3.5,8.03
34,9,3.5,7.94
34,10,3.5,4.16
35,1,3.5,5.01
35,2,3.5,7.01
35,3,3.5,7.32
35,4,3.5,7.13
35,5,3.5,6.61
35,6,3.5,7.99
35,7,3.5,8.24
35,8,3.5,6.72
35,9,3.5,7.55
35,10,3.5,6.84
36,1,2.75,4.07
36,2,2.75,5.07
36,3,2.75,7.03
36,4,2.75,7.06
36,5,2.75,6
36,6,2.75,6.02
36,7,2.75,8.1
36,8,2.75,9.05
36,9,2.75,4.06
36,10,2.75,7.1
37,1,4,8
37,2,4,6.02
37,3,4,9.06
37,4,4,4.04
37,5,4,8.06
37,6,4,8.04
37,7,4,9.99
37,8,4,4.04
37,9,4,9.04
37,10,4,9.04
38,1,3.75,6.03
38,2,3.75,6.55
38,3,3.75,6.02
38,4,3.75,5.48
38,5,3.75,5.5
38,6,3.75,6.02
38,7,3.75,5.52
38,8,3.75,6.71
38,9,3.75,5.02
38,10,3.75,5.49
39,1,3,5.99
39,2,3,7.03
39,3,3,6.07
39,4,3,5.02
39,5,3,9.01
39,6,3,7.03
39,7,3,6.05
39,8,3,8.02
39,9,3,7.05
39,10,3,6.72
